nama;noreg
SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0009
SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0010
RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0071
RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0075
DC PDU/DCDU;B3CD08A0003MA0256
DC PDU/DCDU;B3CD08A0003MA0257
Standard 1U, 19'' standalone IP/MPLS pre-aggregation device, 6 x 100G/40G QSFP28/QSFP+ for uplink, 24 x 25G/10G/1G SFP28/SFP+/SF;B2WN0287103MA0002
FAN FOR RAX721-C-6C48;B2WN0287107MA0004B
FAN FOR RAX721-C-6C48;B2WN0287107MA0003B
DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0004B
DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0002B
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0234
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0231
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00455
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00796
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00868
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00069
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00361
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00454
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00548
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00519
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00636
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00184
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G01200
FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00923
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00166
FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00651
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03853
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04117
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3353
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01399
3RD PARTY GPON ONT WITH 4FE + 2 POTS ( PN - 177-80001 ) ( PN - 177-80001 );B2WN0100041W00348
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0127
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02118
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01676
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3427
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04638
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00021
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0016
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04773
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04993
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01576
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00949
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01490
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02767
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04823
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04873
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0011
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03373
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00859
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03697
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3918
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA2546
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01425
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01053
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02304
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04732
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03974
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00911
3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01887
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0124
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0293
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0238
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0231
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0149
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0134
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0247
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0244
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0236
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0226
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0227
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0133
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0137
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0130
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0125
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0275
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0246
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0237
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0232
SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0147
Generic Compatible 10GBASE-BX40-D BiDi SFP+ 1330nm-TX/1270nm-RX 20km DDM LC SMF Transceiver (QT-BIDI-SFP+-LH-33);B2WN00A0121MA0024
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0057
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0111
SFP+ 10G RAISECOM 40KM;B2WN0150017MA0014
SFP+ ATOP 10G ER 1550nm 40KM;B2WN0150090MA0054
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0168
SFP+ 10G-SINGLESTRAIN 40KM TX 1270NM RX 1330NM;B2WN00A0369MA0021
SFP+ ATOP 10G ER 1550nm 40KM;B2WN0150090MA0124
Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;B2WN00A0365MA0114
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0063
SFP+ 10G 1550nm 40 KM-Project Lambda;B2WN0150261MA0007B
Transceiver BIDI SFP+ 10G Tx1270nm 20km DDM;B2WN00A0125MA0151
SFP+ 10G-SINGLESTRAIN 20KM (Tx-1330 / Rx-1270) (brand: FS/Qonitech/Atop/3Tech/6Com);B2WN0287060MA0229
SFP ATOP 10G-SINGLESTRAIN 40KM TX 1330NM RX 1270NM;B2WN0286428MA0016
Customized  Compatible 10GBASE-ER SFP+ 1550nm 40km DDM LC SMF Transceiver Module Industrial Temperature;B2WN00A0104MA0020
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0082
Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;B2WN00A0365MA0166
Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0225
Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0058
QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;B2WN00A0216MA0055B
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0145
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0144
FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0015
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0364
FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0024
FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0054
FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0052
Juniper Networks JNP-QSFP-100G-SR4 Compatible 100GBASE-SR4 QSFP28 850nm 100m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286745MA0003
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0146
QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;B2WN00A0216MA0057B
Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;B2WN0287155MA0011
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0190MA0115
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0149
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0148
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0190MA0117
Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;B2WN0287155MA0012
FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0019
FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0007
Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0010
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0036
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0219MA0297
FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0051
FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0049
Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0038
Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0037
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0034
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0372
Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0147
SFP+ 10G RAISECOM 40KM;B2WN0150017MA0206
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0026
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0039
SFP+ 10G RAISECOM 40KM;B2WN0150017MA0098
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0011
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0030
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0010
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0017
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0006
Starview QSFP56-DD 400Gbps module 400G-ER4 aggregating 4 x 100Gbps LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) SM (LC) ;B2WN00A0346MA0025
10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0035
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0242
Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0014
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0241
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0777
RAISECOM GE SFP LH SINGLE STRAIN TX 1550NM RX 1310NM 40KM;B2WN0150044MA0065
550m max distance, 850nm, 1.25Gbit/s, dual fiber, multi-mode, DDM, RoHS, commercial.;B2WN0286127MA1077
Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0011
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0780
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0236
SFP ATOP 1G SR 850nm;B2WN0150202MA0197
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0064
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0243
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0190
Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0012
1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0284
1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0289
Cisco SFP-10G-ZR Compatible 10GBASE-ZR/ZW and OTU2e SFP+ 1550nm 80km DOM Duplex LC SMF Transceiver Module;B2WN0286923MA0003
RAISECOM GE SFP LH SINGLE STRAIN TX 1490NM RX 1550NM 40KM;B2WN0150045MA0006
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0199
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0328
SFP ATOP 1G LR 1310nm;B2WN0150201MA0363
SFP 1.25G 850nm 550M DDM LC;B2WN0286922MA0343
RAISECOM GE SFP LX SINGLE STRAIN TX 1550NM RX 1310NM 15KM;B2WN0150046MA0415
SFP+ 10G RAISECOM 40KM;B2WN0150017MA0018
1.25 Gbit/s, 550 m l, 850 nm, Dual-fiber MM, SFP optical module.;B2WN0286127MA0930
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0007
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0091
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0246
Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0019
1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0283
Cisco SFP-10G-ZR Compatible 10GBASE-ZR/ZW and OTU2e SFP+ 1550nm 80km DOM Duplex LC SMF Transceiver Module;B2WN0286923MA0002
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0009
10GBASE ZR SFP+ 1550nm 80km Ipiinfussion Edge-Core Compatible;B2WN00A0130MA0005
1000BASE-LX/LH SFP TRANSCEIVER MODULE, MMF/SMF, 1310NM, DOM ( PN - GLC-LH-SMD );B2WN0131046LA0027
1.25 Gbit/s, 550 m l, 850 nm, Dual-fiber MM, SFP optical module.;B2WN0286127MA0939
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0162
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0052
RAISECOM GE SFP LX SINGLE STRAIN TX 1550NM RX 1310NM 15KM;B2WN0150046MA0407
1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0250
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0202
6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0023
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0530
Small Form Factor Pluggable 10 Gigabit Ethernet (SFP+) SR Optics;B2WN0286459MA0014
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0559
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0527
RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0363
ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0693B
Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0549B
Adapter VeloCloud Edge 510;B2WN0286917MA0123B
Tabletop,  with fan NCA-1515B-4C-8D-64S;B2WN0286830MA0053
